YEAR,PREVIOUS_YEAR,TOSP_CODE,TOSP_DESCRIPTION,TOSP_TABLE_NO,TOSP_COMMON_NAME,SETTING,WARD_TYPE,P25_BILL,P50_BILL,P75_BILL,P25_OPERATION_FEE,P50_OPERATION_FEE,P75_OPERATION_FEE,P25_SURGEON_FEE,P50_SURGEON_FEE,P75_SURGEON_FEE,P25_ANAESTHETIST_FEE,P50_ANAESTHETIST_FEE,P75_ANAESTHETIST_FEE,P25_FACILITY_FEE,P50_FACILITY_FEE,P75_FACILITY_FEE,P25_IMPLANT_FEE,P50_IMPLANT_FEE,P75_IMPLANT_FEE,P25_OTHER_FEE,P50_OTHER_FEE,P75_OTHER_FEE
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),915,"1,091","1,357",547,629,790,-,-,-,-,-,-,-,-,-,-,-,-,298,418,593
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Subsidised),Ward B2,611,810,"1,055",160,179,204,-,-,-,-,-,-,-,-,-,-,-,-,438,621,862
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Subsidised),Ward C,585,796,"1,138",99,110,127,-,-,-,-,-,-,-,-,-,-,-,-,415,651,974
2020,2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),330,364,425,160,178,193,-,-,-,-,-,-,-,-,-,-,-,-,151,187,238
2020,2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Inpatient,"6,654","8,388","9,797","4,182","5,035","6,440","2,140","2,675","2,996",n/a,n/a,n/a,"1,339","2,274","3,241",-,-,-,"1,647","2,540","4,206"
2020,2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Day Surgery,"4,669","5,859","6,882","3,146","4,206","5,568","1,712","2,140","2,675",0,0,0,"1,221","1,612","2,838",-,-,-,610,977,"1,846"
2020,2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Clinics,"4,023","4,819","5,898","3,210","3,585","4,280","1,926","2,365","3,103",n/a,n/a,n/a,856,856,"1,391",-,-,-,930,"1,568","1,766"
2020,2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"2,473","3,012","3,677","1,913","1,975","2,197",-,-,-,-,-,-,-,-,-,0,100,195,422,"1,178","1,524"
2020,2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),648,"1,039","1,300",376,420,871,-,-,-,-,-,-,-,-,-,0,0,80,228,420,563
2020,2019,SA705B,"Breast, Lump, more than 4 cm (removal) with parenchymal flap closure (unilateral/bilateral)",4A,"Breast, removal of growth with wound closure (>4cm, one side or both sides) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,481","1,599","1,765",968,968,"1,009",-,-,-,-,-,-,-,-,-,-,-,-,475,568,773
2020,2019,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Private Hospitals/ Clinics,Inpatient,"9,570","12,982","15,061","6,055","8,284","11,080","3,210","4,441","5,778",n/a,n/a,n/a,"1,935","3,954","5,073",-,-,-,"2,409","3,310","4,649"
2020,2019,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Private Hospitals/ Clinics,Day Surgery,"5,288","7,733","10,414","3,883","5,816","8,277","2,087","2,996","4,066",0,0,800,"1,529","2,302","4,471",-,-,-,976,"1,417","2,034"
2020,2019,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,212","1,584","1,886",474,849,963,-,-,-,-,-,-,-,-,-,0,91,173,249,686,"1,045"
2020,2019,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axillary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Private Hospitals/ Clinics,Inpatient,"21,084","23,974","27,609","13,312","15,310","17,544","6,046","8,560","9,844","1,800","2,133","2,481","4,382","5,479","6,416",-,-,-,"7,464","8,620","10,046"
2020,2019,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axillary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Public Hospitals/ Centres (Subsidised),Ward B2,"1,772","2,069","2,389",891,968,"1,237",-,-,-,-,-,-,-,-,-,-,-,-,833,989,"1,258"
2020,2019,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axillary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,638","1,767","2,336",891,891,961,-,-,-,-,-,-,-,-,-,-,-,-,747,867,"1,143"
2020,2019,SA709B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (multiple)",1C,"Breast, image guided removal of tissue with fine needle (multiple)",Private Hospitals/ Clinics,Day Surgery,"3,503","4,056","4,605","2,140","2,140","2,862","1,466","2,140","2,140",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,"1,042","1,872","2,026"
2020,2019,SA709B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (multiple)",1C,"Breast, image guided removal of tissue with fine needle (multiple)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,183","1,967","2,160",803,803,825,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,448,"1,162","1,223"
2020,2019,SA709B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (multiple)",1C,"Breast, image guided removal of tissue with fine needle (multiple)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),516,634,742,218,244,263,-,-,-,-,-,-,-,-,-,0,0,0,293,390,523
2020,2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Private Hospitals/ Clinics,Clinics,"1,873","2,686","3,180","1,070","1,605","1,605",803,"1,070","1,070",0,0,100,161,268,535,-,-,-,607,"1,076","1,437"
2020,2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Private Hospitals/ Clinics,Day Surgery,"2,453","2,501","2,841","1,070","1,070","1,975","1,070","1,070","1,070",n/a,n/a,n/a,0,0,777,-,-,-,750,"1,389","1,474"
2020,2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),670,"1,176","1,292",449,554,591,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,220,588,606
2020,2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),291,379,488,147,159,180,-,-,-,-,-,-,-,-,-,0,0,0,144,199,310
2020,2019,SA711B,"Breast, Various Lesions, wire localisation, excision (multiple)",3B,"Breast, wire guided removal of tissue (multiple)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,685","1,816","2,039",794,796,"1,021",-,-,-,-,-,-,-,-,-,-,-,-,773,954,"1,148"
2020,2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Private Hospitals/ Clinics,Day Surgery,"7,467","9,934","11,745","5,979","7,878","8,402","2,996","3,852","4,280",750,900,"1,070","2,153","2,598","3,338",n/a,n/a,n/a,"1,073","2,399","3,442"
2020,2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"3,634","4,589","5,390","1,976","3,025","3,073",-,-,-,-,-,-,-,-,-,-,-,-,"1,458","1,849","2,359"
2020,2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,238","1,382","1,529",635,648,694,-,-,-,-,-,-,-,-,-,-,-,-,559,696,871
2020,2019,SA715S,"Soft Tissue (Lower Limb), Tumor/Tumor-like Lesions, Marginal Excision",2C,"Legs, removal of non-cancerous growth with small margins",Private Hospitals/ Clinics,Day Surgery,"4,645","6,169","7,511","3,508","5,059","6,251","1,848","2,500","3,424",n/a,n/a,n/a,"1,500","1,875","2,460",-,-,-,911,"1,179","1,421"
2020,2019,SA715S,"Soft Tissue (Lower Limb), Tumor/Tumor-like Lesions, Marginal Excision",2C,"Legs, removal of non-cancerous growth with small margins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),695,844,921,440,490,576,-,-,-,-,-,-,-,-,-,-,-,-,243,310,412
2020,2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Private Hospitals/ Clinics,Inpatient,"9,784","12,408","16,420","7,436","8,822","11,138","3,575","4,387","6,315",880,"1,083","1,553","2,262","3,286","3,855",n/a,n/a,n/a,"1,972","3,089","4,598"
2020,2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Private Hospitals/ Clinics,Day Surgery,"6,402","7,691","9,689","5,499","6,667","8,053","3,212","4,280","5,334",n/a,n/a,n/a,"1,718","2,007","2,659",-,-,-,958,"1,158","1,735"
2020,2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Public Hospitals/ Centres (Subsidised),Ward B2,"1,863","2,079","2,291",968,"1,365","1,365",-,-,-,-,-,-,-,-,-,-,-,-,660,842,"1,015"
2020,2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,500","1,708","1,936","1,007","1,330","1,365",-,-,-,-,-,-,-,-,-,-,-,-,337,457,571
2020,2019,SA721S,"Soft Tissue (Upper Limb), Tumors (benign), Major Excision Biopsy",4A,"Arms, removal of non-cancerous growth with large margins",Private Hospitals/ Clinics,Inpatient,"9,748","11,473","14,679","7,103","7,995","9,946","3,531","4,368","5,350",874,"1,070","1,338","2,460","3,016","3,596",n/a,n/a,n/a,"2,110","3,081","4,195"
2020,2019,SA721S,"Soft Tissue (Upper Limb), Tumors (benign), Major Excision Biopsy",4A,"Arms, removal of non-cancerous growth with large margins",Private Hospitals/ Clinics,Day Surgery,"6,694","7,626","8,482","5,639","6,296","7,016","3,210","3,748","4,387",n/a,n/a,n/a,"1,524","2,094","2,791",-,-,-,836,"1,252","1,683"
2020,2019,SA721S,"Soft Tissue (Upper Limb), Tumors (benign), Major Excision Biopsy",4A,"Arms, removal of non-cancerous growth with large margins",Public Hospitals/ Centres (Subsidised),Ward B2,"1,582","1,926","2,193",968,985,"1,365",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,602,675,878
2020,2019,SA721S,"Soft Tissue (Upper Limb), Tumors (benign), Major Excision Biopsy",4A,"Arms, removal of non-cancerous growth with large margins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,465","1,643","1,831",968,"1,330","1,365",-,-,-,-,-,-,-,-,-,-,-,-,338,429,540
2020,2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Private Hospitals/ Clinics,Day Surgery,"2,767","3,481","4,339","2,063","2,539","3,143",910,"1,257","2,033",n/a,n/a,n/a,881,"1,162","1,370",-,-,-,651,820,"1,201"
2020,2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Private Hospitals/ Clinics,Clinics,725,871,"1,228",375,535,663,375,514,663,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,290,380,496
2020,2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),668,839,"1,097",367,449,513,-,-,-,-,-,-,-,-,-,-,-,-,283,387,542
2020,2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),298,339,389,131,152,168,-,-,-,-,-,-,-,-,-,-,-,-,151,183,229
2020,2019,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Private Hospitals/ Clinics,Inpatient,"6,005","8,723","11,962","4,064","5,936","9,302","3,638","4,633","5,350",0,425,"1,338",0,818,"2,228",n/a,n/a,n/a,"1,823","2,176","2,567"
2020,2019,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,050","1,127","1,227",815,815,815,-,-,-,-,-,-,-,-,-,-,-,-,239,312,412
2020,2019,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Public Hospitals/ Centres (Subsidised),Ward C,662,901,"1,347",409,474,474,-,-,-,-,-,-,-,-,-,-,-,-,191,424,733
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Inpatient,"7,347","9,739","13,037","4,569","5,679","6,680","2,140","2,930","3,381",597,800,"1,000","1,408","1,992","2,616",n/a,n/a,n/a,"2,357","3,592","6,476"
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Day Surgery,"4,341","5,624","6,928","3,076","4,330","5,425","1,819","2,354","2,996",0,500,800,871,"1,405","1,826",n/a,n/a,n/a,868,"1,278","1,872"
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Unsubsidised),Ward A,"2,994","4,306","5,946","1,427","1,542","1,761",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,536","2,595","4,038"
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"2,794","3,514","5,160","1,209","1,305","1,698",-,-,-,-,-,-,-,-,-,-,-,-,"1,466","2,082","3,442"
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Clinics,"1,423","2,724","5,067","1,017","2,140","3,959","1,017","1,712","2,140",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,300,503,921
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,190","1,792","2,952",488,492,510,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,689,"1,275","2,404"
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,656","1,706","2,144","1,427","1,427","1,568",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,231,262,382
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Subsidised),Ward C,894,"1,283","2,456",279,291,305,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,584,982,"2,151"
2020,2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),591,647,776,474,488,505,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,108,157,251
2020,2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Private Hospitals/ Clinics,Day Surgery,"5,793","7,258","8,513","4,792","6,160","6,980","2,675","3,210","3,371",600,750,803,"1,692","2,309","2,781",n/a,n/a,n/a,787,"1,094","1,641"
2020,2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"2,620","3,132","3,527","1,616","2,230","2,310",-,-,-,-,-,-,-,-,-,-,-,-,767,954,"1,460"
2020,2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),846,958,"1,050",462,530,654,-,-,-,-,-,-,-,-,-,-,-,-,268,366,492
2020,2019,SA813B,"Breast, Lumps (multiple/bilateral), Excision biopsy",3A,"Breast, removal of growth (multiple or two sides)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,145","1,288","1,448",648,816,866,-,-,-,-,-,-,-,-,-,-,-,-,357,486,681
2020,2019,SA822B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy",3B,"Breast, conservation of breast, removal of cancerous growth ",Private Hospitals/ Clinics,Day Surgery,"10,144","11,864","14,222","7,799","9,369","10,139","3,317","5,350","5,350",875,"1,250","1,338","2,219","3,057","3,716",-,-,-,"1,686","2,866","3,947"
2020,2019,SA822B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy",3B,"Breast, conservation of breast, removal of cancerous growth ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,423","1,614","1,970",796,815,"1,021",-,-,-,-,-,-,-,-,-,-,-,-,594,749,"1,033"
2020,2019,SA823B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Axillary Clearance, with/without Sentinel Node Biopsy",4B,"Breast, conservation of breast, removal of cancerous growth with removal of underarm lymph nodes",Private Hospitals/ Clinics,Inpatient,"16,072","21,297","25,673","11,043","14,616","17,377","5,725","7,116","9,630","1,375","2,000","2,250","4,056","4,703","6,202",-,-,-,"4,284","6,375","8,648"
2020,2019,SA823B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Axillary Clearance, with/without Sentinel Node Biopsy",4B,"Breast, conservation of breast, removal of cancerous growth with removal of underarm lymph nodes",Public Hospitals/ Centres (Subsidised),Ward B2,"1,903","2,092","2,493",968,"1,026","1,365",-,-,-,-,-,-,-,-,-,-,-,-,864,"1,072","1,287"
2020,2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axillary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lymph nodes",Private Hospitals/ Clinics,Inpatient,"18,621","23,875","27,835","13,233","16,510","19,607","6,420","8,560","10,700","1,700","2,140","2,500","4,279","5,587","6,780",n/a,n/a,n/a,"4,946","6,904","8,722"
2020,2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axillary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lymph nodes",Public Hospitals/ Centres (Subsidised),Ward B2,"1,912","2,339","2,739",968,"1,050","1,365",-,-,-,-,-,-,-,-,-,-,-,-,918,"1,117","1,426"
2020,2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axillary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lymph nodes",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"2,248","2,313","2,372","1,365","1,365","1,365",-,-,-,-,-,-,-,-,-,-,-,-,896,957,"1,010"
2020,2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axillary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lymph nodes",Public Hospitals/ Centres (Subsidised),Ward C,"1,560","1,709","2,363",767,780,870,-,-,-,-,-,-,-,-,-,-,-,-,788,876,"1,515"
2020,2019,SA827B,"Breast, Tumor (malignant), Simple Mastectomy with Sentinel Node Biopsy/ Axillary Node Sampling",4C,"Breast, removal of entire breast, removal of cancerous growth with lymph node testing and/or removal ",Private Hospitals/ Clinics,Inpatient,"20,199","23,844","27,024","14,314","15,777","18,709","6,046","9,095","10,165","1,800","2,128","2,500","4,692","5,933","6,748",n/a,n/a,n/a,"5,554","7,591","9,887"
