YEAR,TOPS_CODE,TOSP_DESCRIPTION,TOSP_TABLE_NO,TOSP_COMMON_NAME,SETTING,WARD_TYPE,P25_BILL,P50_BILL,P75_BILL,P25_OPERATION_FEE,P50_OPERATION_FEE,P75_OPERATION_FEE,P25_SURGEON_FEE,P50_SURGEON_FEE,P75_SURGEON_FEE,P25_ANAESTHETIST_FEE,P50_ANAESTHETIST_FEE,P75_ANAESTHETIST_FEE,P25_FACILITY_FEE,P50_FACILITY_FEE,P75_FACILITY_FEE,P25_IMPLANT_FEE,P50_IMPLANT_FEE,P75_IMPLANT_FEE,P25_OTHER_FEE,P50_OTHER_FEE,P75_OTHER_FEE
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),313,346,391,159,169,182,-,-,-,-,-,-,-,-,-,-,-,-,138,177,217
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Subsidised),Ward B2,651,892,"1,182",168,182,193,-,-,-,-,-,-,-,-,-,-,-,-,478,714,"1,013"
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Public Hospitals/ Centres (Subsidised),Ward C,518,631,920,99,109,117,-,-,-,-,-,-,-,-,-,-,-,-,401,533,776
2019,SA702S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/Scar, Excision biopsy, Lesion size more than 15mm in diameter",1B,"Skin lesion, removal of tissue (>1.5cm) ",Private Hospitals/ Clinics,Inpatient,"4,144","6,540","8,382","2,784","4,385","5,654","1,284","1,836","2,500",n/a,n/a,n/a,"1,356","1,771","2,344",-,-,-,"1,438","1,941","2,665"
2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Clinics,"3,982","4,466","6,100","3,210","3,435","4,494","1,926","2,649","3,638",n/a,n/a,n/a,856,856,"1,284",-,-,-,797,"1,569","1,618"
2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Day Surgery,"4,748","6,058","7,052","2,930","4,510","5,957","1,650","2,140","3,210",0,0,0,"1,168","1,693","3,033",n/a,n/a,n/a,629,921,"1,751"
2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"2,490","2,949","3,463","1,856","1,926","2,061",-,-,-,-,-,-,-,-,-,0,100,195,422,"1,146","1,406"
2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),648,971,"1,269",376,420,842,-,-,-,-,-,-,-,-,-,0,0,0,228,355,513
2019,SA704B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, Single lesion",2B,"Breast, image guided removal of growth (single)",Private Hospitals/ Clinics,Inpatient,"6,532","7,716","8,661","3,581","4,695","6,215","2,140","2,675","3,210",n/a,n/a,n/a,"1,270","1,995","3,075",-,-,-,"1,691","2,248","3,448"
2019,SA705B,"Breast, Lump, more than 4 cm (removal) with parenchymal flap closure (unilateral/bilateral)",4A,"Breast, removal of growth with wound closure (>4cm, one side or both sides) ",Private Hospitals/ Clinics,Inpatient,"13,281","18,688","24,859","9,502","13,488","16,080","4,687","6,420","8,560","1,124","1,678","2,000","3,864","4,270","5,108",n/a,n/a,n/a,"3,576","5,265","7,790"
2019,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Private Hospitals/ Clinics,Day Surgery,"4,545","7,220","11,287","3,171","4,967","8,616","1,926","2,943","4,815",0,0,700,"1,234","1,526","2,758",-,-,-,"1,002","1,357","2,301"
2019,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,212","1,395","1,861",474,945,963,-,-,-,-,-,-,-,-,-,0,0,129,249,548,924
2019,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Private Hospitals/ Clinics,Inpatient,"8,947","11,958","15,660","6,029","8,193","11,354","3,300","4,655","6,420",n/a,n/a,n/a,"1,824","2,465","4,808",-,-,-,"2,032","2,867","5,252"
2019,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axiliary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,682","1,966","2,433",871,891,961,-,-,-,-,-,-,-,-,-,-,-,-,775,952,"1,531"
2019,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axiliary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Public Hospitals/ Centres (Subsidised),Ward B2,"1,660","1,806","2,378",850,891,930,-,-,-,-,-,-,-,-,-,-,-,-,839,970,"1,332"
2019,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axiliary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Private Hospitals/ Clinics,Inpatient,"19,046","21,829","26,759","12,248","14,775","17,715","5,511","8,500","9,202","1,600","2,000","2,400","3,998","5,038","6,508",n/a,n/a,n/a,"6,158","7,414","8,958"
2019,SA709B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (multiple)",1C,"Breast, image guided removal of tissue with fine needle (multiple)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,518","1,982","2,207",794,804,910,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,729,"1,168","1,383"
2019,SA709B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (multiple)",1C,"Breast, image guided removal of tissue with fine needle (multiple)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),512,636,715,216,244,263,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,249,392,493
2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Private Hospitals/ Clinics,Clinics,"1,700","2,696","3,119","1,000","1,552","1,819",749,"1,284","1,284",0,0,100,200,268,535,-,-,-,602,932,"1,388"
2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Private Hospitals/ Clinics,Day Surgery,"2,456","2,710","3,307","1,070","1,766","2,476","1,070","1,070","1,605",n/a,n/a,n/a,0,337,"1,009",-,-,-,724,"1,239","1,399"
2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),670,"1,177","1,286",449,529,606,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,220,586,652
2019,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),291,360,462,147,159,180,-,-,-,-,-,-,-,-,-,0,0,0,144,200,279
2019,SA711B,"Breast, Various Lesions, wire localisation, excision (multiple)",3B,"Breast, wire guided removal of tissue (multiple)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,459","1,560","1,760",744,796,796,-,-,-,-,-,-,-,-,-,-,-,-,663,768,909
2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Private Hospitals/ Clinics,Day Surgery,"7,372","9,911","11,439","6,125","7,580","8,398","3,424","3,852","4,066",800,888,"1,000","1,984","2,782","3,243",-,-,-,"1,183","2,253","3,152"
2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"3,565","4,176","4,979","1,976","2,087","2,911",-,-,-,-,-,-,-,-,-,-,-,-,"1,497","1,728","2,164"
2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,201","1,359","1,479",635,648,694,-,-,-,-,-,-,-,-,-,-,-,-,538,621,778
2019,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Private Hospitals/ Clinics,Inpatient,"10,057","11,605","13,531","7,322","8,127","9,370","3,638","4,033","4,815",n/a,n/a,n/a,"2,650","3,055","3,562",-,-,-,"2,104","3,167","5,042"
2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,525","1,675","1,844","1,254","1,287","1,287",-,-,-,-,-,-,-,-,-,-,-,-,334,442,549
2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Public Hospitals/ Centres (Subsidised),Ward B2,"1,679","1,894","2,136",960,"1,287","1,287",-,-,-,-,-,-,-,-,-,-,-,-,574,696,855
2019,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Private Hospitals/ Clinics,Inpatient,"10,361","11,896","17,295","7,689","9,142","11,015","3,531","4,387","6,206",888,"1,125","1,605","2,516","3,160","3,902",n/a,n/a,n/a,"2,364","3,355","4,842"
2019,SA721S,"Soft Tissue (Upper Limb), Tumors (benign), Major Excision Biopsy",4A,"Arms, removal of non-cancerous growth with large margins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,306","1,500","1,793",880,968,"1,287",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,335,453,518
2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Private Hospitals/ Clinics,Clinics,666,813,"1,071",350,482,642,350,450,642,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,275,327,450
2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Private Hospitals/ Clinics,Day Surgery,"2,649","3,873","5,442","1,831","2,942","4,206",866,"1,364","2,075",n/a,n/a,n/a,916,"1,153","1,756",n/a,n/a,n/a,596,854,995
2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),673,778,"1,026",375,492,529,-,-,-,-,-,-,-,-,-,-,-,-,241,340,491
2019,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),298,339,384,152,168,192,-,-,-,-,-,-,-,-,-,-,-,-,135,164,214
2019,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,073","1,130","1,220",741,741,741,-,-,-,-,-,-,-,-,-,-,-,-,328,365,465
2019,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Public Hospitals/ Centres (Subsidised),Ward C,699,761,"1,160",431,431,431,-,-,-,-,-,-,-,-,-,-,-,-,268,325,612
2019,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Private Hospitals/ Clinics,Inpatient,"5,071","8,143","11,698","3,210","5,667","8,986","3,210","3,745","6,420",0,0,"1,250",0,749,"1,986",n/a,n/a,n/a,"1,704","2,048","2,426"
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Day Surgery,"4,212","5,845","6,791","3,255","4,479","5,387","1,605","2,200","3,200",0,550,750,995,"1,428","1,850",n/a,n/a,n/a,711,"1,186","1,510"
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,515","1,658","1,866","1,227","1,227","1,427",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,280,308,456
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),551,610,703,415,456,488,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,114,155,235
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Unsubsidised),Ward A,"3,254","4,222","5,535","1,342","1,456","1,755",-,-,-,-,-,-,-,-,-,-,-,-,"1,824","2,551","4,032"
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"2,809","3,856","5,609","1,141","1,208","1,601",-,-,-,-,-,-,-,-,-,-,-,-,"1,524","2,274","4,236"
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,135","1,587","2,629",442,486,509,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,681,"1,119","2,064"
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Public Hospitals/ Centres (Subsidised),Ward C,913,"1,381","2,576",252,278,299,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,636,"1,049","2,279"
2019,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Inpatient,"7,278","9,154","12,210","4,456","5,407","7,184","2,140","2,845","4,033",463,650,"1,000","1,283","1,977","2,609",n/a,n/a,n/a,"2,321","3,443","5,282"
2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Private Hospitals/ Clinics,Day Surgery,"5,883","7,729","8,916","5,050","6,375","7,187","2,782","3,000","3,617",625,750,850,"1,436","2,293","3,020",n/a,n/a,n/a,885,"1,222","1,575"
2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"2,264","2,863","3,284","1,616","1,969","2,133",-,-,-,-,-,-,-,-,-,-,-,-,632,823,"1,183"
2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),810,919,"1,009",462,488,617,-,-,-,-,-,-,-,-,-,-,-,-,274,357,485
2019,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Private Hospitals/ Clinics,Inpatient,"7,363","9,125","11,143","5,396","6,671","7,869","2,800","3,210","4,000",675,750,950,"2,098","2,559","3,091",-,-,-,"1,584","2,253","3,245"
2019,SA813B,"Breast, Lumps (multiple/bilateral), Excision biopsy",3A,"Breast, removal of growth (multiple or two sides)",Private Hospitals/ Clinics,Day Surgery,"8,630","10,785","12,647","7,495","8,865","10,211","3,505","4,976","5,350",750,"1,124","1,250","2,207","3,139","3,789",-,-,-,"1,200","1,690","2,251"
2019,SA813B,"Breast, Lumps (multiple/bilateral), Excision biopsy",3A,"Breast, removal of growth (multiple or two sides)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,048","1,206","1,359",631,648,864,-,-,-,-,-,-,-,-,-,-,-,-,375,441,596
2019,SA813B,"Breast, Lumps (multiple/bilateral), Excision biopsy",3A,"Breast, removal of growth (multiple or two sides)",Private Hospitals/ Clinics,Inpatient,"11,643","13,691","18,310","8,568","10,347","11,194","4,173","5,350","6,420",n/a,n/a,n/a,"2,773","3,643","4,429",-,-,-,"2,158","2,790","5,007"
2019,SA822B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy",3B,"Breast, conservation of breast, removal of cancerous growth ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,295","1,548","1,806",752,796,815,-,-,-,-,-,-,-,-,-,-,-,-,527,683,858
2019,SA822B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy",3B,"Breast, conservation of breast, removal of cancerous growth ",Public Hospitals/ Centres (Subsidised),Ward B2,"1,588","1,837","2,002",741,964,964,-,-,-,-,-,-,-,-,-,-,-,-,826,911,"1,113"
2019,SA823B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Axiliary Clearance, with/without Sentinel Node Biopsy",4B,"Breast, conservation of breast, removal of cancerous growth with removal of underarm lymph nodes",Public Hospitals/ Centres (Subsidised),Ward B2,"1,841","2,083","2,442",880,"1,050","1,287",-,-,-,-,-,-,-,-,-,-,-,-,869,"1,028","1,340"
2019,SA823B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Axiliary Clearance, with/without Sentinel Node Biopsy",4B,"Breast, conservation of breast, removal of cancerous growth with removal of underarm lymph nodes",Private Hospitals/ Clinics,Inpatient,"18,889","23,423","31,562","13,014","15,791","18,242","5,350","8,500","10,000","1,605","2,000","2,500","3,646","5,477","6,579",n/a,n/a,n/a,"5,680","8,624","11,148"
2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axiliary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lumph nodes",Public Hospitals/ Centres (Subsidised),Ward B2,"1,880","2,104","2,428",880,"1,050","1,287",-,-,-,-,-,-,-,-,-,-,-,-,876,"1,019","1,240"
2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axiliary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lumph nodes",Public Hospitals/ Centres (Subsidised),Ward C,"1,350","1,502","1,980",735,750,778,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,665,806,"1,112"
2019,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axiliary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lumph nodes",Private Hospitals/ Clinics,Inpatient,"17,553","21,684","26,911","12,297","15,300","18,753","5,618","8,560","10,700","1,450","2,125","2,500","4,271","4,853","6,189",-,-,-,"4,365","6,077","8,646"
2019,SA827B,"Breast, Tumor (malignant), Simple Mastectomy with Sentinel Node Biopsy/ Axiliary Node Sampling",4C,"Breast, removal of entire breast, removal of cancerous growth with lymph node testing and/or removal ",Public Hospitals/ Centres (Subsidised),Ward B2,"1,645","1,950","2,393",850,880,"1,287",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,789,924,"1,212"
2019,SA827B,"Breast, Tumor (malignant), Simple Mastectomy with Sentinel Node Biopsy/ Axiliary Node Sampling",4C,"Breast, removal of entire breast, removal of cancerous growth with lymph node testing and/or removal ",Public Hospitals/ Centres (Subsidised),Ward C,"1,453","1,834","3,045",717,735,976,-,-,-,-,-,-,-,-,-,-,-,-,707,"1,066","2,098"
2019,SA827B,"Breast, Tumor (malignant), Simple Mastectomy with Sentinel Node Biopsy/ Axiliary Node Sampling",4C,"Breast, removal of entire breast, removal of cancerous growth with lymph node testing and/or removal ",Private Hospitals/ Clinics,Inpatient,"19,921","22,700","26,901","14,010","15,980","17,622","6,420","8,560","9,576","1,811","2,150","2,393","4,576","5,763","6,818",n/a,n/a,n/a,"5,584","7,141","9,066"
2019,SA838S,"Skin and Subcutaneous Tissue, Hemangioma/Lymphangioma (moderate), Excision",3A,"Skin lesions, removal of blood vessel growths (medium-sized) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),895,"1,040","1,171",555,655,753,-,-,-,-,-,-,-,-,-,-,-,-,266,358,491
2019,SA839S,"Skin and Subcutaneous Tissue, Hemangioma/Lymphangioma (small), Excision",2A,"Skin lesions, removal of blood vessel growths (small) ",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,473","1,676","1,852",937,"1,031","1,176",-,-,-,-,-,-,-,-,-,-,-,-,369,637,806
2019,SA839S,"Skin and Subcutaneous Tissue, Hemangioma/Lymphangioma (small), Excision",2A,"Skin lesions, removal of blood vessel growths (small) ",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),445,487,563,269,303,333,-,-,-,-,-,-,-,-,-,-,-,-,142,184,258
2019,SA840S,"Skin and Subcutaneous Tissue, Hematoma, Abscess/Cellulitis/Similar lesion<3cm, Saucerisation/lncision & Drainage",1A,"Skin lesion, removal of small blood clot or infected area (<3cm)",Private Hospitals/ Clinics,Clinics,563,819,"1,339",321,503,642,321,428,535,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,186,284,600
2019,SA840S,"Skin and Subcutaneous Tissue, Hematoma, Abscess/Cellulitis/Similar lesion<3cm, Saucerisation/lncision & Drainage",1A,"Skin lesion, removal of small blood clot or infected area (<3cm)",Private Hospitals/ Clinics,Day Surgery,983,"1,693","4,104",375,"1,292","3,272",375,750,"1,284",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,509,638,899
